-62.144,-7.1467,0.92174,18.307,-0.097927,-24.481,14.583,-39.798
17.835,-4.1904,17.102,11.899,6.5269,-4.5856,31.407,9.0653
40.154,14.765,-7.4238,-8.0624,-3.0871,-9.3876,-27.778,-3.4932
-5.9483,-3.1759,-4.8188,34.875,-11.993,26.751,-40.739,3.6438
-4.6281,-40.125,27.768,-38.306,6.5092,14.337,-4.3057,10.075
-33.959,11.535,9.9807,16.532,10.088,27.385,4.6154,9.1979
4.2498,-4.1929,3.795,33.868,-3.3165,23.944,-45,6.4703
3.3747,-47.514,1.6607,-5.4305,11.686,2.3608,5.9686,4.9982
-54.067,-13.943,1.0556,29.318,-16.077,-7.5356,23.963,-40.164
-9.272,0.06361,35.81,6.6482,20.027,-5.3278,-20.741,26.561
-14.548,6.447,5.7057,-8.1042,-3.0423,-24.449,-4.0352,22.036
47.529,9.3906,-34.239,-8.9536,17.851,-21.475,18.428,-2.808
30.342,-15.979,32.521,16.732,-22.571,3.159,40.367,19.935
-28.11,-1.7498,-0.15665,14.966,-53.592,-35.624,20.871,9.7472
7.3033,4.1122,17.03,3.5281,29.277,15.471,-2.1509,6.924
66.786,7.3208,-6.6218,16.036,13.884,-20.707,-2.5555,-14.525
-32.656,18.442,-6.4543,9.5925,7.6129,1.155,-34.577,-3.1757
1.2332,-0.94903,-5.1778,37.565,-5.9445,19.223,-38.667,6.2749
9.2444,-10.498,-49.071,7.4522,-21.596,-2.9821,-11.281,-6.5221
-7.0737,23.221,-29.469,-21.366,10.872,2.4149,11.861,30.581
-28.376,19.937,-0.57679,17.933,19.632,-7.2389,-33.071,12.2
0.49931,-20.536,-13.449,11.908,-51.339,-19.795,-27.435,-6.8321
-8.3366,-0.51041,-3.6489,23.039,-14.286,27.088,-40.694,1.2577
-40.42,6.7595,-8.2945,22.495,-23.981,-34.897,14.709,3.842
-2.295,-26.177,-34.658,1.1275,-3.4775,42.486,13.982,18.639
25.6,-10.446,21.133,2.4868,-8.6355,5.9756,36.308,9.8961
51.1,-1.987,-2.2748,24.562,8.0951,-9.4036,-20.395,-10.408
13.66,25.267,41.532,-5.9216,-26.664,-9.7154,-6.2454,-6.9129
11.255,37.723,48.552,-0.40362,-18.848,7.1207,2.7902,-5.5515
56.598,10.436,-19.67,0.73987,22.215,-24.275,9.7589,-12.742
-10.725,15.715,-42.82,-21.408,2.2218,5.288,11.077,27.805
-25.39,1.6048,17.723,21.577,23.265,13.359,8.2175,5.1804
15.621,17.654,41.596,4.3528,-16.421,10.612,-1.8612,-21.734
7.1961,27.539,34.507,-26.801,-8.8285,-21.037,-5.9607,0.93418
